,"Mumps - number of reported cases"
"Country","2016"
"Afghanistan","29"
"Albania","17"
"Algeria","0"
"Andorra","5"
"Angola",""
"Antigua and Barbuda","0"
"Argentina","74"
"Armenia","1"
"Australia","800"
"Azerbaijan","0"
"Bahamas","0"
"Bahrain","24"
"Barbados","0"
"Belarus","4"
"Belgium","153"
"Belize","0"
"Benin",""
"Bhutan","795"
"Bolivia (Plurinational State of)","0"
"Bosnia and Herzegovina","170"
"Botswana","0"
"Brazil",""
"Brunei Darussalam","3"
"Bulgaria","19"
"Burkina Faso","0"
"Burundi",""
"Cabo Verde",""
"Cambodia",""
"Canada","309"
"Central African Republic",""
"Chile","1265"
"China","175001"
"Colombia","10452"
"Comoros","7"
"Congo","0"
"Cook Islands",""
"Costa Rica","75"
"Côte d'Ivoire",""
"Croatia","33"
"Cuba","0"
"Cyprus","1"
"Czechia","5734"
"Democratic People's Republic of Korea","0"
"Denmark","15"
"Djibouti",""
"Dominica","0"
"Dominican Republic","1833"
"Ecuador","1352"
"Egypt","803"
"El Salvador","0"
"Equatorial Guinea","0"
"Eritrea","1458"
"Estonia","4"
"Ethiopia",""
"Fiji",""
"Finland","6"
"France",""
"Gabon",""
"Gambia","0"
"Georgia","46"
"Germany","741"
"Ghana","16320"
"Greece","4"
"Grenada","0"
"Guatemala","517"
"Guinea",""
"Guinea-Bissau","0"
"Guyana","0"
"Haiti",""
"Honduras","138"
"Hungary","1"
"Iceland","8"
"Iran (Islamic Republic of)",""
"Iraq","73939"
"Ireland",""
"Israel","51"
"Italy",""
"Jamaica","2"
"Japan","159031"
"Jordan","168"
"Kazakhstan","24"
"Kenya","80960"
"Kiribati",""
"Kuwait",""
"Kyrgyzstan","318"
"Lao People's Democratic Republic","0"
"Latvia","6"
"Lebanon","486"
"Lesotho","0"
"Liberia",""
"Libya",""
"Lithuania","53"
"Luxembourg","0"
"Madagascar",""
"Malawi","0"
"Malaysia","103"
"Maldives","0"
"Mali",""
"Malta","2"
"Marshall Islands",""
"Mauritania","0"
"Mauritius",""
"Mexico","3646"
"Micronesia (Federated States of)","0"
"Monaco",""
"Mongolia","346"
"Montenegro","5"
"Mozambique",""
"Myanmar",""
"Namibia",""
"Nauru",""
"Nepal","30610"
"Netherlands","71"
"New Zealand","20"
"Nicaragua","82"
"Niger","0"
"Nigeria",""
"Niue",""
"Norway","83"
"Oman","112"
"Palau","0"
"Panama","110"
"Paraguay","286"
"Peru",""
"Philippines",""
"Poland","1978"
"Portugal","138"
"Qatar","20"
"Republic of Korea",""
"Republic of Moldova","109"
"Romania","644"
"Russian Federation","1106"
"Rwanda","1809"
"Saint Kitts and Nevis","0"
"Saint Lucia","0"
"Saint Vincent and the Grenadines","0"
"Samoa",""
"San Marino","0"
"Sao Tome and Principe","7"
"Saudi Arabia","14"
"Serbia","40"
"Seychelles","0"
"Sierra Leone",""
"Singapore",""
"Slovakia","203"
"Slovenia","0"
"Solomon Islands",""
"South Africa",""
"South Sudan",""
"Spain","4999"
"Sri Lanka","311"
"Suriname","13"
"Swaziland","1"
"Sweden","22"
"Switzerland","0"
"Syrian Arab Republic","85"
"Tajikistan","1790"
"Thailand","23"
"The former Yugoslav republic of Macedonia","45"
"Timor-Leste","0"
"Tonga","0"
"Trinidad and Tobago","0"
"Turkey","544"
"Turkmenistan","0"
"Tuvalu",""
"Ukraine","439"
"United Arab Emirates",""
"United Kingdom of Great Britain and Northern Ireland","974"
"United Republic of Tanzania",""
"United States of America",""
"Uruguay","938"
"Uzbekistan","268"
"Vanuatu",""
"Venezuela (Bolivarian Republic of)","50"
"Viet Nam",""
"Yemen",""
"Zambia","0"
"Zimbabwe","14"
