,"Yellow fever - number of reported cases"
"Country","2016"
"Afghanistan",""
"Albania","0"
"Algeria","0"
"Andorra","0"
"Angola","881"
"Antigua and Barbuda","0"
"Argentina","0"
"Armenia","0"
"Australia","0"
"Austria","0"
"Azerbaijan","0"
"Bahamas","0"
"Bahrain","0"
"Barbados","0"
"Belarus","0"
"Belgium",""
"Belize","0"
"Benin","0"
"Bhutan","0"
"Bolivia (Plurinational State of)","0"
"Bosnia and Herzegovina","0"
"Botswana","0"
"Brazil","43"
"Brunei Darussalam","0"
"Bulgaria","0"
"Burkina Faso","1"
"Burundi",""
"Cabo Verde",""
"Cambodia",""
"Cameroon","61"
"Canada","2"
"Central African Republic","0"
"Chad","1"
"Chile","0"
"China",""
"Colombia","6"
"Comoros",""
"Congo","0"
"Cook Islands",""
"Costa Rica","0"
"Côte d'Ivoire","3"
"Croatia","0"
"Cuba","0"
"Cyprus","0"
"Czechia","0"
"Democratic People's Republic of Korea","0"
"Democratic Republic of the Congo","77"
"Denmark","0"
"Djibouti",""
"Dominica","0"
"Dominican Republic",""
"Ecuador","0"
"Egypt",""
"El Salvador","0"
"Equatorial Guinea","0"
"Eritrea","0"
"Estonia","0"
"Ethiopia","0"
"Fiji",""
"Finland","0"
"France",""
"Gabon","0"
"Gambia","0"
"Georgia","0"
"Germany","0"
"Ghana","1"
"Greece","0"
"Grenada","0"
"Guatemala","0"
"Guinea","4"
"Guinea-Bissau","0"
"Guyana","0"
"Haiti",""
"Honduras","0"
"Hungary","0"
"Iceland","0"
"India",""
"Indonesia",""
"Iran (Islamic Republic of)",""
"Iraq",""
"Ireland",""
"Israel","1"
"Italy",""
"Jamaica","0"
"Japan","0"
"Jordan",""
"Kazakhstan","0"
"Kenya","3"
"Kiribati",""
"Kuwait",""
"Kyrgyzstan",""
"Lao People's Democratic Republic","0"
"Latvia","0"
"Lebanon","0"
"Lesotho","0"
"Liberia","0"
"Libya",""
"Lithuania","0"
"Luxembourg","0"
"Madagascar",""
"Malawi","0"
"Malaysia","0"
"Maldives","0"
"Mali","0"
"Malta","0"
"Marshall Islands",""
"Mauritania","0"
"Mauritius",""
"Mexico","0"
"Micronesia (Federated States of)","0"
"Monaco",""
"Mongolia","0"
"Montenegro","0"
"Morocco",""
"Mozambique",""
"Myanmar",""
"Namibia","0"
"Nauru",""
"Nepal",""
"Netherlands",""
"New Zealand","0"
"Nicaragua","0"
"Niger","0"
"Nigeria","0"
"Niue",""
"Norway","0"
"Oman","0"
"Palau","0"
"Panama","0"
"Paraguay","0"
"Peru","62"
"Philippines",""
"Poland","0"
"Portugal","0"
"Qatar","0"
"Republic of Korea",""
"Republic of Moldova","0"
"Romania","0"
"Russian Federation",""
"Rwanda","0"
"Saint Kitts and Nevis","0"
"Saint Lucia","0"
"Saint Vincent and the Grenadines","0"
"Samoa",""
"San Marino","0"
"Sao Tome and Principe","0"
"Saudi Arabia","0"
"Senegal","0"
"Serbia",""
"Seychelles","0"
"Sierra Leone","0"
"Singapore",""
"Slovakia","0"
"Slovenia","0"
"Solomon Islands",""
"South Africa","0"
"South Sudan",""
"Spain",""
"Sri Lanka","0"
"Sudan",""
"Suriname",""
"Swaziland",""
"Sweden","0"
"Switzerland","0"
"Syrian Arab Republic","0"
"Tajikistan","0"
"Thailand","0"
"The former Yugoslav republic of Macedonia","0"
"Timor-Leste",""
"Togo","0"
"Tonga","0"
"Trinidad and Tobago","0"
"Tunisia","0"
"Turkey",""
"Turkmenistan","0"
"Tuvalu",""
"Uganda","8"
"Ukraine",""
"United Arab Emirates",""
"United Kingdom of Great Britain and Northern Ireland","0"
"United Republic of Tanzania",""
"United States of America",""
"Uruguay","0"
"Uzbekistan","0"
"Vanuatu",""
"Venezuela (Bolivarian Republic of)","0"
"Viet Nam",""
"Yemen",""
"Zambia","0"
"Zimbabwe",""
